年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸
2018,台東縣,李,82966,82966,198,198,19,7912,1567
2018,花蓮縣,李,21105,19136,54,49,20,7738,377
2018,澎湖縣,李,-,-,-,-,-,-,-
2018,基隆市,李,-,-,-,-,-,-,-
2018,新竹市,李,-,-,-,-,-,-,-
2018,嘉義市,李,-,-,-,-,-,-,-
2018,福建省,李,-,-,-,-,-,-,-
2018,金門縣,李,-,-,-,-,-,-,-
2018,連江縣,李,-,-,-,-,-,-,-
2018,新北市,桃,2941,1910,6,4,14,6544,27
2018,台北市,桃,-,-,-,-,-,-,-
2018,桃園市,桃,61734,61594,247,246,34,8471,2086
2018,台中市,桃,459705,459665,1204,1204,34,13030,15685
2018,台南市,桃,546,546,1,1,26,11163,14
2018,高雄市,桃,26379,26379,87,87,11,3468,303
2018,臺灣省,桃,177776,177130,531,529,25,8302,4390
2018,宜蘭縣,桃,10221,10184,28,28,31,11301,312
2018,新竹縣,桃,50979,50979,170,170,27,8263,1401
2018,苗栗縣,桃,30704,30704,85,85,22,8009,678
2018,彰化縣,桃,4279,4247,11,10,20,8210,86
2018,南投縣,桃,41357,41357,125,125,26,8702,1086
2018,雲林縣,桃,1165,1109,3,3,20,6894,22
2018,嘉義縣,桃,8436,8436,25,25,33,11039,279
2018,屏東縣,桃,2359,2359,7,7,21,7333,50
2018,台東縣,桃,16409,16409,46,46,16,5861,267
2018,花蓮縣,桃,11859,11338,32,31,18,6767,209
2018,澎湖縣,桃,-,-,-,-,-,-,-
2018,基隆市,桃,5,5,0,0,15,7500,0
2018,新竹市,桃,3,3,0,0,29,8700,0
2018,嘉義市,桃,-,-,-,-,-,-,-
2018,福建省,桃,-,-,-,-,-,-,-
2018,金門縣,桃,-,-,-,-,-,-,-
2018,連江縣,桃,-,-,-,-,-,-,-
2018,新北市,柿,5604,4776,15,12,14,5539,68
2018,台北市,柿,1240,1240,5,5,25,6175,32
2018,桃園市,柿,20895,20895,70,70,40,12000,836
2018,台中市,柿,1054746,1054746,3451,3451,61,18639,64329
2018,台南市,柿,1015,1015,3,3,21,7389,22
2018,高雄市,柿,8356,8356,28,28,20,6065,169
2018,臺灣省,柿,464667,461569,1680,1670,41,11287,18846
2018,宜蘭縣,柿,6399,6322,19,19,36,12399,230
2018,新竹縣,柿,87833,87743,288,287,36,10901,3133
2018,苗栗縣,柿,145693,145693,475,475,38,11598,5512
2018,彰化縣,柿,936,936,3,3,28,9132,26
2018,南投縣,柿,65347,65347,197,197,28,9278,1824
2018,雲林縣,柿,4557,4491,14,14,35,11109,156
2018,嘉義縣,柿,105431,105431,518,518,65,13127,6803
2018,屏東縣,柿,32,32,0,0,24,7520,1
2018,台東縣,柿,33571,32146,115,110,27,7911,872
2018,花蓮縣,柿,14868,13428,51,46,22,6233,289
2018,澎湖縣,柿,-,-,-,-,-,-,-
2018,基隆市,柿,-,-,-,-,-,-,-
2018,新竹市,柿,-,-,-,-,-,-,-
2018,嘉義市,柿,-,-,-,-,-,-,-
2018,福建省,柿,-,-,-,-,-,-,-
2018,金門縣,柿,-,-,-,-,-,-,-
2018,連江縣,柿,-,-,-,-,-,-,-
2018,新北市,木瓜,5007,4492,3,3,13,20661,60
2018,台北市,木瓜,4385,4385,3,3,11,16014,49
2018,桃園市,木瓜,4257,3605,5,4,26,21398,93
2018,台中市,木瓜,15052,14602,9,9,28,46327,413
2018,台南市,木瓜,1340416,1338394,775,773,29,49562,38333
2018,高雄市,木瓜,488128,477413,273,267,29,52394,14011
2018,臺灣省,木瓜,2740424,2616284,1612,1542,28,48176,74280
2018,宜蘭縣,木瓜,12618,12330,9,8,18,26402,220
2018,新竹縣,木瓜,11608,10294,8,7,27,38754,276
2018,苗栗縣,木瓜,45397,45397,29,29,21,32402,931
2018,彰化縣,木瓜,67942,67867,39,39,22,38645,1503
2018,南投縣,木瓜,564016,532102,324,306,33,57776,17686
2018,雲林縣,木瓜,325216,322531,190,188,32,55128,10363
2018,嘉義縣,木瓜,433198,398770,243,225,25,44785,10060
2018,屏東縣,木瓜,1111440,1069250,666,642,28,47187,30273
2018,台東縣,木瓜,64420,57712,46,41,20,28337,1175
2018,花蓮縣,木瓜,81942,77404,46,43,15,26582,1153
2018,澎湖縣,木瓜,1257,1257,2,2,9,6218,11
2018,基隆市,木瓜,-,-,-,-,-,-,-
2018,新竹市,木瓜,364,364,0,0,27,46814,10
2018,嘉義市,木瓜,21006,21006,12,12,30,53098,620
2018,福建省,木瓜,540,540,0,0,9,18300,5
2018,金門縣,木瓜,540,540,0,0,9,18300,5
2018,連江縣,木瓜,-,-,-,-,-,-,-
2018,新北市,蓮霧,344,56,1,0,20,7000,1
2018,台北市,蓮霧,929,929,4,4,19,4814,18
2018,桃園市,蓮霧,9,-,0,-,-,-,-
2018,台中市,蓮霧,2862,2862,11,11,51,12812,145
2018,台南市,蓮霧,8584,8584,34,34,39,9764,333
2018,高雄市,蓮霧,105519,105511,423,423,61,15177,6418
2018,臺灣省,蓮霧,862711,836281,2941,2838,50,14808,42024
2018,宜蘭縣,蓮霧,44434,29835,164,106,52,14539,1540
2018,新竹縣,蓮霧,434,434,2,2,38,9537,17
2018,苗栗縣,蓮霧,483,483,2,2,28,7196,14
2018,彰化縣,蓮霧,1261,1261,5,5,25,6546,32
2018,南投縣,蓮霧,19983,19983,81,81,39,9521,773
2018,雲林縣,蓮霧,7307,6884,25,23,29,8677,201
2018,嘉義縣,蓮霧,52243,52118,209,208,74,18557,3861
2018,屏東縣,蓮霧,723116,719442,2400,2387,49,14860,35472
2018,台東縣,蓮霧,1113,1088,5,5,34,7128,36
2018,花蓮縣,蓮霧,11562,3978,47,16,15,3744,61
2018,澎湖縣,蓮霧,-,-,-,-,-,-,-
2018,基隆市,蓮霧,211,211,0,0,12,5900,3
2018,新竹市,蓮霧,-,-,-,-,-,-,-
2018,嘉義市,蓮霧,564,564,2,2,26,6357,15
2018,福建省,蓮霧,-,-,-,-,-,-,-
2018,金門縣,蓮霧,-,-,-,-,-,-,-
2018,連江縣,蓮霧,-,-,-,-,-,-,-
2018,新北市,葡萄,43,43,0,0,31,45000,1
2018,台北市,葡萄,-,-,-,-,-,-,-
2018,桃園市,葡萄,20960,20960,5,5,7,27577,143
2018,台中市,葡萄,660596,660596,539,539,30,37190,20056
2018,台南市,葡萄,5757,5757,3,3,17,30720,97
2018,高雄市,葡萄,7429,7429,6,6,25,29384,184
2018,臺灣省,葡萄,3253876,3253034,2232,2231,24,34661,77318
2018,宜蘭縣,葡萄,673,626,1,1,41,31878,26
2018,新竹縣,葡萄,520,420,1,1,22,12264,9
2018,苗栗縣,葡萄,570010,570010,477,477,30,35449,16909
2018,彰化縣,葡萄,2211642,2211642,1307,1307,22,36965,48326
2018,南投縣,葡萄,456352,456352,430,430,26,27087,11653
2018,雲林縣,葡萄,2024,2024,3,3,27,18907,55
2018,嘉義縣,葡萄,4905,4245,7,6,42,27516,178
2018,屏東縣,葡萄,175,140,1,0,46,16008,6
2018,台東縣,葡萄,7575,7575,5,5,21,32494,156
2018,花蓮縣,葡萄,-,-,-,-,-,-,-
2018,澎湖縣,葡萄,-,-,-,-,-,-,-
2018,基隆市,葡萄,-,-,-,-,-,-,-
2018,新竹市,葡萄,-,-,-,-,-,-,-
2018,嘉義市,葡萄,-,-,-,-,-,-,-
2018,福建省,葡萄,-,-,-,-,-,-,-
2018,金門縣,葡萄,-,-,-,-,-,-,-
2018,連江縣,葡萄,-,-,-,-,-,-,-
2018,新北市,枇杷,15,-,0,-,-,-,-
2018,台北市,枇杷,16,16,0,0,15,4800,0
2018,桃園市,枇杷,4458,4458,7,7,12,7200,53
2018,台中市,枇杷,353535,353535,807,807,15,6359,5132
2018,台南市,枇杷,14,14,0,0,12,5600,0
2018,高雄市,枇杷,175,175,1,1,21,7458,4
2018,臺灣省,枇杷,120436,118458,339,333,16,5731,1911
2018,宜蘭縣,枇杷,2020,2020,5,5,20,7976,40
2018,新竹縣,枇杷,382,382,1,1,13,5908,5
2018,苗栗縣,枇杷,17334,17334,40,40,16,6980,280
2018,彰化縣,枇杷,25,25,0,0,15,7500,0
2018,南投縣,枇杷,38005,38005,128,128,24,7008,899
2018,雲林縣,枇杷,403,403,1,1,16,7284,6
2018,嘉義縣,枇杷,240,240,1,1,15,7200,4
2018,屏東縣,枇杷,-,-,-,-,-,-,-
2018,台東縣,枇杷,59562,58621,157,154,11,4231,653
2018,花蓮縣,枇杷,2465,1428,6,3,16,6874,22
2018,澎湖縣,枇杷,-,-,-,-,-,-,-
2018,基隆市,枇杷,-,-,-,-,-,-,-
2018,新竹市,枇杷,-,-,-,-,-,-,-
2018,嘉義市,枇杷,-,-,-,-,-,-,-
2018,福建省,枇杷,-,-,-,-,-,-,-
2018,金門縣,枇杷,-,-,-,-,-,-,-
2018,連江縣,枇杷,-,-,-,-,-,-,-
2018,新北市,梅,170,170,0,0,10,4817,2
2018,台北市,梅,123,123,1,1,16,3578,2
2018,桃園市,梅,1086,1086,2,2,10,6000,11
2018,台中市,梅,28578,28488,95,95,20,6063,576
2018,台南市,梅,97937,97937,325,325,23,6829,2217
2018,高雄市,梅,377791,377791,1397,1397,10,2606,3639
2018,臺灣省,梅,556773,552711,1967,1945,20,5624,10936
2018,宜蘭縣,梅,-,-,-,-,-,-,-
2018,新竹縣,梅,440,440,2,2,15,3814,7
2018,苗栗縣,梅,8744,8744,26,26,19,6364,164
2018,彰化縣,梅,226,226,0,0,17,7783,4
2018,南投縣,梅,342005,342005,1144,1144,22,6628,7580
2018,雲林縣,梅,5070,5070,20,20,20,5200,101
2018,嘉義縣,梅,15462,15462,53,53,21,6118,322
2018,屏東縣,梅,600,600,2,2,15,6048,9
2018,台東縣,梅,160078,156616,627,607,15,3961,2403
2018,花蓮縣,梅,24148,23548,95,93,15,3729,345
2018,澎湖縣,梅,-,-,-,-,-,-,-
2018,基隆市,梅,-,-,-,-,-,-,-
2018,新竹市,梅,-,-,-,-,-,-,-
2018,嘉義市,梅,-,-,-,-,-,-,-
2018,福建省,梅,-,-,-,-,-,-,-
2018,金門縣,梅,-,-,-,-,-,-,-
2018,連江縣,梅,-,-,-,-,-,-,-
2018,新北市,荔枝,-,-,-,-,-,-,-
2018,台北市,荔枝,-,-,-,-,-,-,-
2018,桃園市,荔枝,-,-,-,-,-,-,-
2018,台中市,荔枝,513097,513070,1894,1894,29,7811,14796
2018,台南市,荔枝,274578,274578,911,911,28,8510,7750
2018,高雄市,荔枝,902306,902238,3161,3161,28,8055,25459
2018,臺灣省,荔枝,1032656,1028083,3841,3823,30,8021,30662
2018,宜蘭縣,荔枝,475,469,2,2,24,6357,11
2018,新竹縣,荔枝,5399,5399,18,18,30,8826,160
2018,苗栗縣,荔枝,8639,8639,33,33,26,6791,222
2018,彰化縣,荔枝,292074,291724,935,934,22,6770,6324
2018,南投縣,荔枝,340036,338157,1360,1352,37,9260,12517
2018,雲林縣,荔枝,19157,19157,69,69,31,8673,595
2018,嘉義縣,荔枝,162473,162444,662,662,34,8293,5488
2018,屏東縣,荔枝,147627,146036,565,559,28,7414,4141
2018,台東縣,荔枝,30761,30279,105,104,21,6191,641
2018,花蓮縣,荔枝,405,181,1,1,19,5130,3
2018,澎湖縣,荔枝,12,-,0,-,-,-,-
2018,基隆市,荔枝,-,-,-,-,-,-,-
2018,新竹市,荔枝,12053,12053,42,42,13,3627,153
2018,嘉義市,荔枝,13545,13545,49,49,30,8301,406
2018,福建省,荔枝,7,7,0,0,5,3500,0
2018,金門縣,荔枝,7,7,0,0,5,3500,0
2018,連江縣,荔枝,-,-,-,-,-,-,-
2018,新北市,橄欖,-,-,-,-,-,-,-
2018,台北市,橄欖,-,-,-,-,-,-,-
2018,桃園市,橄欖,640,640,2,2,11,3520,7
2018,台中市,橄欖,5268,5268,17,17,26,8131,137
2018,台南市,橄欖,4341,4341,12,12,22,7561,94
2018,高雄市,橄欖,2563,2563,8,8,30,9797,77
2018,臺灣省,橄欖,57685,57685,172,172,22,7424,1276
2018,宜蘭縣,橄欖,-,-,-,-,-,-,-
2018,新竹縣,橄欖,2509,2509,8,8,24,7599,59
2018,苗栗縣,橄欖,8856,8856,27,27,22,7123,192
2018,彰化縣,橄欖,370,370,1,1,21,7045,8
2018,南投縣,橄欖,17554,17554,50,50,25,8613,434
2018,雲林縣,橄欖,-,-,-,-,-,-,-
2018,嘉義縣,橄欖,2194,2194,6,6,25,9358,55
2018,屏東縣,橄欖,62,62,0,0,38,7661,2
2018,台東縣,橄欖,21896,21896,67,67,18,6048,404
2018,花蓮縣,橄欖,3519,3519,10,10,30,10381,106
2018,澎湖縣,橄欖,-,-,-,-,-,-,-
2018,基隆市,橄欖,-,-,-,-,-,-,-
2018,新竹市,橄欖,28,28,0,0,25,8750,1
2018,嘉義市,橄欖,697,697,2,2,20,6336,14
2018,福建省,橄欖,-,-,-,-,-,-,-
2018,金門縣,橄欖,-,-,-,-,-,-,-
2018,連江縣,橄欖,-,-,-,-,-,-,-
2018,新北市,楊桃,225,225,1,1,20,9000,5
2018,台北市,楊桃,536,536,2,2,22,6899,12
2018,桃園市,楊桃,-,-,-,-,-,-,-
2018,台中市,楊桃,16228,16228,41,41,45,17883,725
2018,台南市,楊桃,139189,139189,308,308,31,14129,4352
2018,高雄市,楊桃,4586,4586,12,12,25,9860,114
2018,臺灣省,楊桃,144068,144068,418,418,25,8743,3657
2018,宜蘭縣,楊桃,6615,6615,17,17,26,10479,173
2018,新竹縣,楊桃,1526,1526,4,4,28,10052,42
2018,苗栗縣,楊桃,33488,33488,88,88,41,15438,1359
2018,彰化縣,楊桃,72931,72931,234,234,17,5244,1225
2018,南投縣,楊桃,9721,9721,24,24,26,10537,254
2018,雲林縣,楊桃,7178,7178,18,18,33,13252,237
2018,嘉義縣,楊桃,4374,4374,11,11,28,10945,123
2018,屏東縣,楊桃,5315,5315,15,15,31,10710,163
2018,台東縣,楊桃,1654,1654,4,4,33,13258,55
2018,花蓮縣,楊桃,1266,1266,3,3,20,7644,25
2018,澎湖縣,楊桃,-,-,-,-,-,-,-
2018,基隆市,楊桃,-,-,-,-,-,-,-
2018,新竹市,楊桃,-,-,-,-,-,-,-
2018,嘉義市,楊桃,-,-,-,-,-,-,-
2018,福建省,楊桃,35,35,0,0,14,9800,0
2018,金門縣,楊桃,35,35,0,0,14,9800,0
2018,連江縣,楊桃,-,-,-,-,-,-,-
2018,新北市,梨,4002,3876,10,10,22,8533,85
2018,台北市,梨,72,72,0,0,31,7440,2
2018,桃園市,梨,3646,3484,11,11,28,8888,96
2018,台中市,梨,1041313,1041223,3441,3441,75,22732,78215
2018,台南市,梨,1403,1403,4,4,30,10542,43
2018,高雄市,梨,6319,6319,21,21,29,8674,183
2018,臺灣省,梨,525086,524876,1787,1787,76,22403,40025
2018,宜蘭縣,梨,19506,19350,63,63,60,18613,1164
2018,新竹縣,梨,49774,49774,167,167,48,14312,2397
2018,苗栗縣,梨,384856,384856,1330,1330,86,24873,33074
2018,彰化縣,梨,16625,16625,58,58,34,9687,562
2018,南投縣,梨,10409,10409,35,35,55,16435,570
2018,雲林縣,梨,1258,1258,3,3,24,11963,30
2018,嘉義縣,梨,26184,26184,87,87,69,20760,1798
2018,屏東縣,梨,767,767,2,2,29,10070,23
2018,台東縣,梨,9127,9127,23,23,25,9872,227
2018,花蓮縣,梨,6357,6303,19,19,28,9028,174
2018,澎湖縣,梨,-,-,-,-,-,-,-
2018,基隆市,梨,-,-,-,-,-,-,-
2018,新竹市,梨,223,223,1,1,36,12454,8
2018,嘉義市,梨,-,-,-,-,-,-,-
2018,福建省,梨,-,-,-,-,-,-,-
2018,金門縣,梨,-,-,-,-,-,-,-
2018,連江縣,梨,-,-,-,-,-,-,-
2018,新北市,蘋果,-,-,-,-,-,-,-
2018,台北市,蘋果,-,-,-,-,-,-,-
2018,桃園市,蘋果,-,-,-,-,-,-,-
2018,台中市,蘋果,53270,53270,152,152,21,7350,1119
2018,台南市,蘋果,-,-,-,-,-,-,-
2018,高雄市,蘋果,455,455,1,1,16,5600,7
2018,臺灣省,蘋果,15804,15411,42,41,32,12155,493
2018,宜蘭縣,蘋果,-,-,-,-,-,-,-
2018,新竹縣,蘋果,-,-,-,-,-,-,-
2018,苗栗縣,蘋果,-,-,-,-,-,-,-
2018,彰化縣,蘋果,-,-,-,-,-,-,-
2018,南投縣,蘋果,15390,15390,41,41,32,12160,492
2018,雲林縣,蘋果,-,-,-,-,-,-,-
2018,嘉義縣,蘋果,21,21,0,0,25,8750,1
2018,屏東縣,蘋果,-,-,-,-,-,-,-
2018,台東縣,蘋果,-,-,-,-,-,-,-
2018,花蓮縣,蘋果,393,-,1,-,-,-,-
2018,澎湖縣,蘋果,-,-,-,-,-,-,-
2018,基隆市,蘋果,-,-,-,-,-,-,-
2018,新竹市,蘋果,-,-,-,-,-,-,-
2018,嘉義市,蘋果,-,-,-,-,-,-,-
2018,福建省,蘋果,16,16,0,0,5,4000,0
2018,金門縣,蘋果,16,16,0,0,5,4000,0
2018,連江縣,蘋果,-,-,-,-,-,-,-
2018,新北市,棗,14,-,0,-,-,-,-
2018,台北市,棗,-,-,-,-,-,-,-
2018,桃園市,棗,100,100,0,0,5,5000,1
2018,台中市,棗,3572,3572,8,8,29,12434,103
2018,台南市,棗,121851,121821,258,258,36,17198,4442
2018,高雄市,棗,302213,300171,838,832,51,18228,15161
2018,臺灣省,棗,321692,313118,797,775,42,16894,13094
2018,宜蘭縣,棗,700,700,2,2,30,12000,21
2018,新竹縣,棗,247,247,1,1,10,5078,3
2018,苗栗縣,棗,40782,40782,91,91,27,12108,1107
2018,彰化縣,棗,1771,1771,4,4,24,10805,43
2018,南投縣,棗,9427,9378,27,27,14,4926,133
2018,雲林縣,棗,10208,10092,24,24,34,14316,344
2018,嘉義縣,棗,27448,27448,76,76,31,11403,862
2018,屏東縣,棗,228248,220364,564,545,48,19304,10513
2018,台東縣,棗,1172,1172,3,3,28,11275,33
2018,花蓮縣,棗,1409,884,4,3,30,10566,27
2018,澎湖縣,棗,-,-,-,-,-,-,-
2018,基隆市,棗,-,-,-,-,-,-,-
2018,新竹市,棗,-,-,-,-,-,-,-
2018,嘉義市,棗,280,280,1,1,30,12000,8
2018,福建省,棗,20,20,0,0,9,9000,0
2018,金門縣,棗,20,20,0,0,9,9000,0
2018,連江縣,棗,-,-,-,-,-,-,-
2018,新北市,番荔枝,130,100,0,0,10,4000,1
2018,台北市,番荔枝,-,-,-,-,-,-,-
2018,桃園市,番荔枝,225,225,1,1,10,4500,2
2018,台中市,番荔枝,17341,17341,39,39,28,12271,481
2018,台南市,番荔枝,48109,48109,80,80,29,17620,1409
2018,高雄市,番荔枝,3803,3773,11,10,24,8491,89
2018,臺灣省,番荔枝,3104984,3025327,5371,5254,19,10875,57133
2018,宜蘭縣,番荔枝,2090,2060,4,4,21,12111,43
2018,新竹縣,番荔枝,63,-,1,-,-,-,-
2018,苗栗縣,番荔枝,443,443,1,1,17,9127,8
2018,彰化縣,番荔枝,19719,19599,37,36,17,9363,341
2018,南投縣,番荔枝,6453,6453,13,13,28,13844,182
2018,雲林縣,番荔枝,4547,4174,8,8,27,14371,113
2018,嘉義縣,番荔枝,2860,2860,6,6,26,12918,75
2018,屏東縣,番荔枝,22415,22015,44,43,19,9815,427
2018,台東縣,番荔枝,3022687,2950454,5215,5111,19,10881,55617
2018,花蓮縣,番荔枝,23242,16804,42,30,19,10848,326
2018,澎湖縣,番荔枝,465,465,1,1,6,3170,3
2018,基隆市,番荔枝,-,-,-,-,-,-,-
2018,新竹市,番荔枝,-,-,-,-,-,-,-
2018,嘉義市,番荔枝,-,-,-,-,-,-,-
2018,福建省,番荔枝,-,-,-,-,-,-,-
2018,金門縣,番荔枝,-,-,-,-,-,-,-
2018,連江縣,番荔枝,-,-,-,-,-,-,-
2018,新北市,百香果,1967,1703,3,3,17,10510,30
2018,台北市,百香果,1280,1280,2,2,15,12024,19
2018,桃園市,百香果,1263,1243,1,1,13,13951,17
2018,台中市,百香果,43811,43811,48,48,20,18306,882
2018,台南市,百香果,10256,10256,11,11,18,16979,188
2018,高雄市,百香果,12447,12447,14,14,15,13656,191
2018,臺灣省,百香果,643207,639080,671,666,38,36390,24249
2018,宜蘭縣,百香果,3321,3321,6,6,20,11027,65
2018,新竹縣,百香果,1347,951,2,1,22,16916,21
2018,苗栗縣,百香果,13964,13964,16,16,21,17691,292
2018,彰化縣,百香果,8683,8683,13,13,18,11931,157
2018,南投縣,百香果,558849,558849,559,559,41,40642,22733
2018,雲林縣,百香果,14808,14808,17,17,20,18101,299
2018,嘉義縣,百香果,14049,14049,19,19,16,11637,219
2018,屏東縣,百香果,5050,5050,12,12,28,11378,141
2018,台東縣,百香果,12710,12710,15,15,17,14155,212
2018,花蓮縣,百香果,10358,6627,11,7,16,15040,108
2018,澎湖縣,百香果,-,-,-,-,-,-,-
2018,基隆市,百香果,68,68,0,0,13,4148,1
2018,新竹市,百香果,-,-,-,-,-,-,-
2018,嘉義市,百香果,-,-,-,-,-,-,-
2018,福建省,百香果,260,260,0,0,9,9200,2
2018,金門縣,百香果,260,260,0,0,9,9200,2
2018,連江縣,百香果,-,-,-,-,-,-,-
2018,新北市,可可椰子,-,-,-,-,-,-,-
2018,台北市,可可椰子,-,-,-,-,-,-,-
2018,桃園市,可可椰子,-,-,-,-,-,-,-
2018,台中市,可可椰子,56,56,0,0,30,8400,2
2018,台南市,可可椰子,48746,48746,153,153,42,13372,2046
2018,高雄市,可可椰子,79011,78980,450,449,55,9667,4344
2018,臺灣省,可可椰子,309422,300175,1521,1480,44,8901,13169
2018,宜蘭縣,可可椰子,18,18,0,0,35,12600,1
2018,新竹縣,可可椰子,-,-,-,-,-,-,-
2018,苗栗縣,可可椰子,-,-,-,-,-,-,-
2018,彰化縣,可可椰子,25,25,0,0,50,12500,1
2018,南投縣,可可椰子,435,435,2,2,35,9227,15
2018,雲林縣,可可椰子,391,391,1,1,40,10716,16
2018,嘉義縣,可可椰子,2379,1939,10,8,40,9258,78
2018,屏東縣,可可椰子,145648,144789,774,770,50,9445,7271
2018,台東縣,可可椰子,144036,144036,659,659,38,8415,5545
2018,花蓮縣,可可椰子,16333,8385,73,39,28,6127,236
2018,澎湖縣,可可椰子,-,-,-,-,-,-,-
2018,基隆市,可可椰子,-,-,-,-,-,-,-
2018,新竹市,可可椰子,-,-,-,-,-,-,-
2018,嘉義市,可可椰子,157,157,1,1,42,11369,7
2018,福建省,可可椰子,-,-,-,-,-,-,-
2018,金門縣,可可椰子,-,-,-,-,-,-,-
2018,連江縣,可可椰子,-,-,-,-,-,-,-
2018,新北市,其他水果,30592,28937,27,25,18,20317,514
2018,台北市,其他水果,5710,5710,15,15,18,6875,105
2018,桃園市,其他水果,54882,52466,40,39,17,22777,882
2018,台中市,其他水果,186443,182510,196,193,19,18137,3492
2018,台南市,其他水果,580376,576756,787,783,26,19150,14986
2018,高雄市,其他水果,242315,242146,254,253,18,17539,4444
2018,臺灣省,其他水果,4508175,4401650,3643,3494,14,18185,63534
2018,宜蘭縣,其他水果,61819,59914,64,63,29,27787,1740
2018,新竹縣,其他水果,56303,52997,61,58,15,13964,804
2018,苗栗縣,其他水果,93003,93003,110,110,22,18511,2030
2018,彰化縣,其他水果,833833,832068,581,580,16,23319,13519
2018,南投縣,其他水果,728798,719791,640,614,19,21860,13412
2018,雲林縣,其他水果,294371,288448,192,186,14,21777,4048
2018,嘉義縣,其他水果,500865,482391,710,672,17,12140,8158
2018,屏東縣,其他水果,1213345,1168016,648,616,10,19732,12156
2018,台東縣,其他水果,542652,532301,402,380,10,13689,5197
2018,花蓮縣,其他水果,137594,127129,175,158,14,10957,1726
2018,澎湖縣,其他水果,13037,13037,11,11,16,19137,210
2018,基隆市,其他水果,673,673,1,1,13,6150,9
2018,新竹市,其他水果,3950,3950,3,3,12,16688,47
2018,嘉義市,其他水果,27932,27932,44,44,17,10803,478
2018,福建省,其他水果,9805,9805,5,5,12,23340,117
2018,金門縣,其他水果,9805,9805,5,5,12,23340,117
2018,連江縣,其他水果,-,-,-,-,-,-,-
2017,新北市,香蕉,106299,98160,74.22,68.85,12.41,17689.21,1217.902
2017,台北市,香蕉,13304,13304,10.71,10.71,13.62,16917.09,181.182
2017,桃園市,香蕉,40677,38774,49.68,47.43,17.87,14608.26,692.87
2017,台中市,香蕉,563601,553469,623.37,613.96,16.72,15068.7,9251.577
2017,台南市,香蕉,1479424,1477329,1062.85,1061,16.22,22589.21,23967.157
2017,高雄市,香蕉,3782804,3533292,2107.8,1969.61,13.46,24141.65,47549.639
2017,宜蘭縣,香蕉,140330,140330,111.66,111.66,8.8,11058.74,1234.819
2017,新竹縣,香蕉,145137,145137,101.15,101.15,11.71,16808.58,1700.188
2017,苗栗縣,香蕉,146076,145999,109.28,109.23,17.99,24050.05,2626.987
2017,彰化縣,香蕉,224786,221676,150.23,148.13,14.87,22246.05,3295.307
2017,南投縣,香蕉,3821862,3817463,3100.74,3096.94,14.76,18190.64,56335.336
2017,雲林縣,香蕉,1212385,1182001,675.19,658.31,14.73,26453.41,17414.545
2017,嘉義縣,香蕉,4498169,4401734,2855.36,2794.47,15.16,23872.36,66710.595
2017,屏東縣,香蕉,7378282,6624406,4323.33,3883.02,15.31,26115.48,101406.926
2017,台東縣,香蕉,975068,959600,652.62,641.65,12.82,19167.79,12299.014
2017,花蓮縣,香蕉,1191572,668392,777.13,431.31,13.48,20897.27,9013.2
2017,澎湖縣,香蕉,2571,2571,2.6,2.6,16.49,16306.92,42.398
2017,基隆市,香蕉,5033,5033,3.85,3.85,9,11765.45,45.297
2017,新竹市,香蕉,9459,9459,6.06,6.06,11.11,17336.3,105.058
2017,嘉義市,香蕉,64515,64515,43.01,43.01,14.14,21211.35,912.3
2017,金門縣,香蕉,1600,1600,0.8,0.8,9.16,18312.5,14.65
2017,連江縣,香蕉,0,0,0,0,0,0,0
2017,新北市,鳳梨,44808,31750,1.7,1.17,0.88,23782.05,27.825
2017,台北市,鳳梨,0,0,0,0,0,0,0
2017,桃園市,鳳梨,900,0,0.03,0,0,0,0
2017,台中市,鳳梨,4267202,4231602,123.34,122.34,1.23,42459.47,5194.492
2017,台南市,鳳梨,58943990,51875260,1713.84,1505.94,1.45,49941.32,75208.631
2017,高雄市,鳳梨,53836795,41793486,1495.65,1160.53,1.44,51996.45,60343.436
2017,宜蘭縣,鳳梨,1217450,1217450,45.46,45.46,1.05,28190.94,1281.56
2017,新竹縣,鳳梨,2600,2600,0.14,0.14,1.08,20000,2.8
2017,苗栗縣,鳳梨,27190,26787,0.92,0.9,1.05,31207.78,28.087
2017,彰化縣,鳳梨,8856640,8811440,255,253.7,1.46,50595.27,12836.02
2017,南投縣,鳳梨,45920527,44724427,1307.03,1272.83,1.83,64351.48,81908.498
2017,雲林縣,鳳梨,31787624,31154264,860.95,842.75,1.59,58940.2,49671.854
2017,嘉義縣,鳳梨,52189540,46175772,1482.86,1311.82,1.52,53588.02,70297.839
2017,屏東縣,鳳梨,137749966,130174166,3455.42,3265.78,1.31,52363.72,171008.399
2017,台東縣,鳳梨,12074192,12025892,344.74,343.29,1.09,38073.74,13070.335
2017,花蓮縣,鳳梨,11147714,11081214,285.76,283.86,0.86,33601.29,9538.062
2017,澎湖縣,鳳梨,39300,39300,1.31,1.31,0.9,27000,35.37
2017,基隆市,鳳梨,0,0,0,0,0,0,0
2017,新竹市,鳳梨,0,0,0,0,0,0,0
2017,嘉義市,鳳梨,2756163,2756163,78.77,78.77,1.12,39070.92,3077.616
2017,金門縣,鳳梨,0,0,0,0,0,0,0
2017,連江縣,鳳梨,0,0,0,0,0,0,0
